[INFO][tm:2018-12-28 20:18:06,759][pt:1360:12492][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:18:06] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:18:06,966][pt:1360:12492][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:18:06] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:31,525][pt:1360:2572][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Detected change in 'E:\\workspace\\flask_base_plus\\app\\controller\\home\\IndexView.py', reloading
[INFO][tm:2018-12-28 20:19:31,562][pt:12668:6728][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Restarting with stat
[WARNING][tm:2018-12-28 20:19:33,118][pt:7032:6924][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger is active!
[INFO][tm:2018-12-28 20:19:33,128][pt:7032:6924][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger PIN: 841-965-237
[INFO][tm:2018-12-28 20:19:33,134][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[INFO][tm:2018-12-28 20:19:37,328][pt:7032:272][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:19:37,328][pt:7032:272][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] dddddddd
[INFO][tm:2018-12-28 20:19:37,391][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:37] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:37,599][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:37] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:38,562][pt:7032:272][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:19:38,562][pt:7032:272][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] dddddddd
